relative_path,date,bytes,sha256,bands,height,width,crs
train/S2_JZ_2018-07-14_1903.tif,2018-07-14,1158292,ce547c88aaac6366a0994292c66cf15a1722ef368af4c0619255c4a38cd0131f,7,279,279,EPSG:4326
train/S2_JZ_2018-07-24_1903.tif,2018-07-24,1151686,2b8d613e81eb45fbed5f7c00278eed04140f4b922537f0f27796272673af01db,7,279,279,EPSG:4326
train/S2_JZ_2018-08-13_1903.tif,2018-08-13,1143965,3afc541dfa5d58ab77162394851afac42c8b97837e27c09745e937cb1fce0ae7,7,279,279,EPSG:4326
train/S2_JZ_2018-08-18_1903.tif,2018-08-18,1131402,5c5e7b42ef8f7edd3dac3e23db6b214d9c5ce38cc7faec179aa6e9063f4e6fa2,7,279,279,EPSG:4326
train/S2_JZ_2018-08-23_1903.tif,2018-08-23,1136241,84981a00076faf184ac26927a79fb8fa9d1bdb4bd844e149dc73bf27e37af3d6,7,279,279,EPSG:4326
train/S2_JZ_2018-08-28_1903.tif,2018-08-28,1129138,574fe436bf2822225e06434980be45fb27980750f70120e333b4b036cb80c0d9,7,279,279,EPSG:4326
train/S2_JZ_2018-09-02_1903.tif,2018-09-02,1132856,1ac44c662ec89da3a2a8a19e8a9b4aa7379b579ea159e20bbd257bf0f401212f,7,279,279,EPSG:4326
train/S2_JZ_2018-09-07_1903.tif,2018-09-07,1121671,963ef3138cfaece70a452ae5d634945842bf38f884b363df59e8f6eea050b6c1,7,279,279,EPSG:4326
train/S2_JZ_2018-09-17_1903.tif,2018-09-17,1117195,914e154907b3fab46d2330d65cbbe048fdbf307e306109092818ffac20e80e01,7,279,279,EPSG:4326
train/S2_JZ_2018-09-27_1903.tif,2018-09-27,1110964,f05e384b1adc258f02cf96cdd814a048c10d1c6fe0af8970406edda00359164a,7,279,279,EPSG:4326
train/S2_JZ_2018-10-07_1903.tif,2018-10-07,1087987,3568541dad3ad23e45f9633ea6d8a5bfe367b35fae6474f5b9770de42808a640,7,279,279,EPSG:4326
train/S2_JZ_2018-10-12_1903.tif,2018-10-12,1096386,88963d17ae94351e550b4e2ee52ba79c6c121168004517a5de831d535b92f798,7,279,279,EPSG:4326
train/S2_JZ_2018-10-17_1903.tif,2018-10-17,1092551,b80b15a6de54bb957b11db174c3bea2a67a58e9a386321b2bc50e8d4340e1f8d,7,279,279,EPSG:4326
train/S2_JZ_2018-11-01_1903.tif,2018-11-01,1097901,227212e89a6ca333ecaf53489c72a5759b71d231661b41872d3481872aba90a3,7,279,279,EPSG:4326
train/S2_JZ_2018-11-06_1903.tif,2018-11-06,1078831,b4ef8c6b1144868f562d15d4349677625e04fd1034ff27f72c36e800f9a3c445,7,279,279,EPSG:4326
train/S2_JZ_2018-11-11_1903.tif,2018-11-11,1066879,656b2d1cf2a4184ae8ef580f8c3d424fea87dcd0547d5c6338bd4be409fb0e94,7,279,279,EPSG:4326
train/S2_JZ_2018-11-16_1903.tif,2018-11-16,1066259,d414f856ad68c6f0010bdab89625fb10cd18a2ea8b5a1ae7f5d4e8ad1b5d42a0,7,279,279,EPSG:4326
train/S2_JZ_2018-12-11_1903.tif,2018-12-11,1005153,50ac47311a26cc424c9432ecd2ecfeb485f4ffcf541333478a710d717d3c4a79,7,279,279,EPSG:4326
train/S2_JZ_2018-12-26_1903.tif,2018-12-26,1019692,5b15a23eb30217607f771e50ceff07019aa2865d0350960ac908c191494a3dd2,7,279,279,EPSG:4326
train/S2_JZ_2018-12-31_1903.tif,2018-12-31,948210,9aca0ba5acd0fc649c4af6834bd4713354574e6c4c480c0c2a7a9cbec5d95c3e,7,279,279,EPSG:4326
train/S2_JZ_2019-05-05_1903.tif,2019-05-05,1032833,a6350b9b36943b34e75b1e9082724a4758c49ae4fad7e20a227e474f9eea4259,7,279,279,EPSG:4326
train/S2_JZ_2019-05-10_1903.tif,2019-05-10,1087978,03f60b543b18435ce328e59042e4f13cbcd5495b22df6b46933c1765bbff1ed6,7,279,279,EPSG:4326
train/S2_JZ_2019-06-04_1903.tif,2019-06-04,1152413,f5a3e29686bade507766e698eaab9a3c053842f813378033d42a52a81c3c098a,7,279,279,EPSG:4326
